iter	RMSE
0	0.1377067269
1	0.1336447437
2	0.129740293
3	0.1260261579
4	0.1225809438
5	0.1191818614
6	0.1159778777
7	0.1129036873
8	0.1100014338
9	0.1073016873
10	0.1046926732
11	0.1022063254
12	0.09981815528
13	0.0975858657
14	0.09543049439
15	0.0933823272
16	0.09150116666
17	0.08969470087
18	0.08801498451
19	0.08600995106
20	0.08404321719
21	0.08219303817
22	0.08041277446
23	0.07878402762
24	0.07723821662
25	0.07578131371
26	0.07438472096
27	0.073067475
28	0.07180647403
29	0.07061848356
30	0.06952210504
31	0.0684654547
32	0.06748399403
33	0.06620125323
34	0.06498987526
35	0.06383196512
36	0.06271560513
37	0.06171460717
38	0.06072765597
39	0.05984237028
40	0.05897708437
41	0.05818529938
42	0.05737601579
43	0.05665481704
44	0.05594645164
45	0.05526877557
46	0.05464821294
47	0.05408858334
48	0.05353333471
49	0.05303872483
50	0.05258194905
51	0.05215120274
52	0.05173312728
53	0.05130614696
54	0.05091069678
55	0.05056259579
56	0.05022777939
57	0.04987217405
58	0.04958445228
59	0.04931535755
60	0.04901816021
61	0.04869946907
62	0.04845644359
63	0.04824121525
64	0.04803118124
65	0.0477327548
66	0.04743859168
67	0.04717096536
68	0.04692712572
69	0.04668658801
70	0.04644363783
71	0.04625623487
72	0.04605818564
73	0.0458605549
74	0.04565850741
75	0.0454856199
76	0.04527013062
77	0.04513362141
78	0.04495636435
79	0.04479052743
80	0.04463453716
81	0.04447503308
82	0.04437103086
83	0.04422888049
84	0.04409531138
85	0.04399212922
86	0.04386716499
87	0.04375222505
88	0.04363950046
89	0.04352808725
90	0.04340264094
91	0.04330102383
92	0.04318423411
93	0.0430287567
94	0.04291658749
95	0.04283400603
96	0.04273593068
97	0.04265505339
98	0.04256735429
99	0.04247926198
100	0.0423909913
101	0.04230247363
102	0.04222594808
103	0.04214629259
104	0.04207693995
105	0.04202042497
106	0.0418925334
107	0.04182383962
108	0.041764473
109	0.04171388158
110	0.04166470067
111	0.04160142516
112	0.04155190696
113	0.04149974145
114	0.04144296684
115	0.04138961567
116	0.04131641721
117	0.04122726857
118	0.04116219355
119	0.04110316887
120	0.04105716033
121	0.04100715897
122	0.04096853674
123	0.04091254052
124	0.040858024
125	0.04081302467
126	0.04076761238
127	0.04073802456
128	0.04063499604
129	0.04059793752
130	0.04054895842
131	0.04049552391
132	0.04045330196
133	0.04040404437
134	0.0403784938
135	0.04033162889
136	0.04027263034
137	0.04022944669
138	0.04018457607
139	0.04013554708
140	0.04008394142
141	0.04004600134
142	0.0399617118
143	0.03993694731
144	0.03990448652
145	0.03985856614
146	0.0398231895
147	0.03980303107
148	0.03978008061
149	0.03975292735
150	0.03971915129
151	0.0396723044
152	0.03963989857
153	0.03959751757
154	0.03957046668
155	0.03955693446
156	0.03949385309
157	0.03945475417
158	0.03943084743
159	0.039393261
160	0.03937180545
161	0.03931419624
162	0.03928691377
163	0.0392209858
164	0.03919301973
165	0.03914978662
166	0.03906551757
167	0.03903168189
168	0.03901280433
169	0.03897674351
170	0.03893012907
171	0.03889799243
172	0.03886611274
173	0.03882299142
174	0.03879581056
175	0.03878041683
176	0.03877254964
177	0.03875799151
178	0.03874079643
179	0.03870128896
180	0.03868464717
181	0.0386787769
182	0.03864657651
183	0.03861726925
184	0.03856322025
185	0.03855614824
186	0.03855426938
187	0.0384754833
188	0.03846448826
189	0.03844156319
190	0.03840965124
191	0.03836971117
192	0.0383337111
193	0.03828975607
194	0.03824679406
195	0.0382207179
196	0.03819551173
197	0.0381614196
198	0.03812801273
199	0.03811567953
200	0.03809332983
201	0.03805652254
202	0.03804001754
203	0.03802294719
204	0.03799687905
205	0.03798020987
206	0.03795064805
207	0.03791603909
208	0.03787714038
209	0.03787087039
210	0.03785414852
211	0.03784384813
212	0.03781789345
213	0.03777307473
214	0.03774198709
215	0.03770623603
216	0.03770207071
217	0.03767851307
218	0.03765595457
219	0.03761485427
220	0.03759862928
221	0.03754986256
222	0.03754420566
223	0.03750996391
224	0.03748943
225	0.03747392759
226	0.03745714735
227	0.03743293004
228	0.03740673934
229	0.03740256622
230	0.03738359891
231	0.03738349565
232	0.03734107613
233	0.03732326731
234	0.03728497725
235	0.03725841282
236	0.03723657869
237	0.03719370874
238	0.03718162215
239	0.03715028964
240	0.03712601738
241	0.03710811766
242	0.03709216519
243	0.03704364021
244	0.03703468559
245	0.03701712545
246	0.0370001498
247	0.03697173381
248	0.03694655421
249	0.03693246678
250	0.03690088578
251	0.03687826841
252	0.03686742584
253	0.03684696184
254	0.03682980468
255	0.03681149028
256	0.03679554183
257	0.03677227362
258	0.03675609082
259	0.0367352409
260	0.03671953183
261	0.03670630424
262	0.03670000305
263	0.03668166134
264	0.03665939151
265	0.03661938875
266	0.03660815049
267	0.03659548421
268	0.03657322874
269	0.03655186032
270	0.0365390007
271	0.03650989726
272	0.0364918678
273	0.03645575128
274	0.03641098237
275	0.03639365261
276	0.03636919131
277	0.03635317824
278	0.0363257646
279	0.03629872964
280	0.03628438966
281	0.03626615056
282	0.03625505068
283	0.03623699275
284	0.03622043962
285	0.03620882637
286	0.0361886582
287	0.0361562564
288	0.03613551623
289	0.03611181175
290	0.03607951314
291	0.0360540779
292	0.0360303407
293	0.03601580466
294	0.03598943332
295	0.0359683161
296	0.03593097109
297	0.03590605613
298	0.03588243571
299	0.03587178032
300	0.03585737108
301	0.03583856357
302	0.03582629417
303	0.03580644689
304	0.03579377101
305	0.035767619
306	0.03575725346
307	0.03573664101
308	0.0357259732
309	0.03569544016
310	0.03567949203
311	0.03565967139
312	0.03563426686
313	0.03562426738
314	0.035606775
315	0.0355872611
316	0.03555927705
317	0.03553893451
318	0.03551192494
319	0.03548928944
320	0.03547290952
321	0.03544425947
322	0.03542868352
323	0.03541250571
324	0.03539735771
325	0.03536860651
326	0.0353529102
327	0.03534639404
328	0.03533273476
329	0.03530865595
330	0.03530036779
331	0.03528673109
332	0.03527302068
333	0.03525787094
334	0.0352413031
335	0.03523106544
336	0.03521764777
337	0.03520184197
338	0.03519495349
339	0.03518417199
340	0.03516935873
341	0.03512667588
342	0.03511105686
343	0.03509109781
344	0.03508493926
345	0.0350693436
346	0.03505593231
347	0.03504282596
348	0.03499835749
349	0.0349732267
350	0.03495550655
351	0.03492929022
352	0.03491501742
353	0.03489545449
354	0.03488397139
355	0.0348731218
356	0.03484685372
357	0.03483809393
358	0.03481480507
359	0.03481075392
360	0.03478574233
361	0.03474818774
362	0.03471427196
363	0.03470508967
364	0.03469110314
365	0.03465897098
366	0.03463750841
367	0.03462894631
368	0.03462498044
369	0.03460825032
370	0.03458851719
371	0.03458233144
372	0.03457130497
373	0.0345581304
374	0.03454578794
375	0.03453440873
376	0.03453202243
377	0.03451763401
378	0.03449817717
379	0.03448622949
380	0.03448276894
381	0.0344593612
382	0.03445387511
383	0.03444528793
384	0.03444070501
385	0.03442447402
386	0.0344133544
387	0.0344066294
388	0.03439352877
389	0.03436484826
390	0.0343520276
391	0.03432707067
392	0.03430860674
393	0.03429524705
394	0.03428032914
395	0.03426362026
396	0.03424063489
397	0.03422743073
398	0.03420448453
399	0.03419903797
400	0.03416791261
401	0.03415547967
402	0.03414039017
403	0.03412850784
404	0.03411961695
405	0.03410017396
406	0.03408161616
407	0.03405807227
408	0.03404559401
409	0.03404243308
410	0.03401157132
411	0.03399987133
412	0.0339837314
413	0.03397041239
414	0.03395821324
415	0.03394473347
416	0.03393202995
417	0.03392060511
418	0.03391011075
419	0.03388103607
420	0.03387333439
421	0.03385641731
422	0.03384737095
423	0.0338364913
424	0.03381683914
425	0.0338063278
426	0.03379426299
427	0.03377103039
428	0.03375680819
429	0.03374708964
430	0.03373438636
431	0.03372961467
432	0.03372086884
433	0.03371170708
434	0.03369802703
435	0.03368389095
436	0.03365407885
437	0.03364499272
438	0.03363772646
439	0.03361262769
440	0.03360333875
441	0.03358262445
442	0.03356892918
443	0.03355846602
444	0.03355044735
445	0.03353198425
446	0.0335174325
447	0.03350192382
448	0.0334978413
449	0.03348905307
450	0.03347432092
451	0.03345949287
452	0.03345247483
453	0.03344275291
454	0.03343371249
455	0.03342646554
456	0.03340786192
457	0.0334028592
458	0.0333875899
459	0.03338347101
460	0.03337292457
461	0.0333389791
462	0.0333307536
463	0.03330700858
464	0.03329007975
465	0.03327374649
